[EVAL][01/276] final01_Defocus_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 6.43173sec 
[EVAL][02/276] final01_Defocus_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.12485sec 
[EVAL][03/276] final01_Defocus_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.27915sec 
[EVAL][04/276] final01_Defocus_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.24873sec 
[EVAL][05/276] final01_Spherical_Abberation_0.2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 6.33955sec 
[EVAL][06/276] final01_Spherical_Abberation_0.4.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.19723sec 
[EVAL][07/276] final01_Spherical_Abberation_0.6.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.23992sec 
[EVAL][08/276] final01_Spherical_Abberation_0.9.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.03978sec 
[EVAL][09/276] final01_Vertical_Astigmatism_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.78738sec 
[EVAL][10/276] final01_Vertical_Astigmatism_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.28507sec 
[EVAL][11/276] final01_Vertical_Astigmatism_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.22552sec 
[EVAL][12/276] final01_Vertical_Astigmatism_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.42964sec 
[EVAL][13/276] final02_Defocus_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.12936sec 
[EVAL][14/276] final02_Defocus_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.11804sec 
[EVAL][15/276] final02_Defocus_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.69904sec 
[EVAL][16/276] final02_Defocus_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.57250sec 
[EVAL][17/276] final02_Spherical_Abberation_0.2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.96098sec 
[EVAL][18/276] final02_Spherical_Abberation_0.4.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 6.17806sec 
