[EVAL][01/125] i01_08_1 13.46.57.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.15068sec 
[EVAL][02/125] i01_08_2 13.46.57.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.32879sec 
[EVAL][03/125] i01_08_3 13.46.57.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.21346sec 
[EVAL][04/125] i01_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.27888sec 
[EVAL][05/125] i01_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.03838sec 
[EVAL][06/125] i02_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.98069sec 
[EVAL][07/125] i02_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.91581sec 
[EVAL][08/125] i02_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.01552sec 
[EVAL][09/125] i02_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.92294sec 
[EVAL][10/125] i02_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.94124sec 
[EVAL][11/125] i03_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.95531sec 
[EVAL][12/125] i03_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.97596sec 
[EVAL][13/125] i03_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.95794sec 
[EVAL][14/125] i03_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.91471sec 
[EVAL][15/125] i03_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.93879sec 
[EVAL][16/125] i04_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.97432sec 
[EVAL][17/125] i04_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.96366sec 
[EVAL][18/125] i04_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.97252sec 
[EVAL][19/125] i04_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.94779sec 
[EVAL][20/125] i04_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.97750sec 
[EVAL][21/125] i05_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.96444sec 
[EVAL][22/125] i05_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.00537sec 
[EVAL][23/125] i05_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.94881sec 
[EVAL][24/125] i05_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.02529sec 
[EVAL][25/125] i05_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.13409sec 
[EVAL][26/125] i06_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.02890sec 
[EVAL][27/125] i06_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.04076sec 
[EVAL][28/125] i06_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.95403sec 
[EVAL][29/125] i06_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.97554sec 
[EVAL][30/125] i06_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.97932sec 
[EVAL][31/125] i07_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.94947sec 
[EVAL][32/125] i07_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.92945sec 
[EVAL][33/125] i07_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.98195sec 
[EVAL][34/125] i07_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.92154sec 
[EVAL][35/125] i07_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.95758sec 
[EVAL][36/125] i08_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.02048sec 
[EVAL][37/125] i08_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.08085sec 
[EVAL][38/125] i08_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.23467sec 
[EVAL][39/125] i08_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.82815sec 
[EVAL][40/125] i08_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.51083sec 
[EVAL][41/125] i09_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.42527sec 
[EVAL][42/125] i09_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.13343sec 
[EVAL][43/125] i09_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.15928sec 
[EVAL][44/125] i09_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.22820sec 
[EVAL][45/125] i09_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.07504sec 
[EVAL][46/125] i10_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.12239sec 
[EVAL][47/125] i10_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.06018sec 
[EVAL][48/125] i10_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.98868sec 
[EVAL][49/125] i10_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.12737sec 
[EVAL][50/125] i10_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.09623sec 
[EVAL][51/125] i11_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.08016sec 
[EVAL][52/125] i11_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.00833sec 
[EVAL][53/125] i11_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.09260sec 
[EVAL][54/125] i11_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.43363sec 
[EVAL][55/125] i11_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.39767sec 
[EVAL][56/125] i12_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.37366sec 
[EVAL][57/125] i12_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.28107sec 
[EVAL][58/125] i12_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.28436sec 
[EVAL][59/125] i12_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.18817sec 
[EVAL][60/125] i12_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.07827sec 
[EVAL][61/125] i13_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.13561sec 
[EVAL][62/125] i13_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.20239sec 
[EVAL][63/125] i13_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.08364sec 
[EVAL][64/125] i13_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.13485sec 
[EVAL][65/125] i13_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.27154sec 
[EVAL][66/125] i14_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.15906sec 
